# id: location ID
# date: in the center of the calibration time window (if known) 
# Nr: raw (observed) neutron count rate (cph)
# sensitivity: sensitivity relative to FZJ calibrator (-)
# N: neutron count rate (cph), corrected for sensor efficiency (Nr/sensitivity)
# abshum: mean absolute humidity in calibration period (g/m3)
# fp: mean correction factor for pressure in calibration period (-)
# fh: mean correction factor for humidity in calibration period (-)
# fijung: mean correction factor for temporal variability of incoming neutrons in calibration period, based on JUNG (-)
# phi: temporal correction factor from pressure, humidity, incoming (fh * fp * fijung)
# Nc: neutron count rate (cph), phi-corrected (pressure, humidity, incoming)
# biomass: above-ground dry biomass (kg/m²), treated as 0 if not available
# Nvegc: neutron count rate (cph), corrected for biomass based on Baatz et al., 2015 (cph), Nc / (1 - biomass * 0.9 / 100.)
# Nsim: "neutron intensity" as simulated by PARMA (mean over energy range 1e-6 to 1e-1 MeV)
# fi: scaling factor based on Nsim, obtained by Nsim@Marquardt/Nsim
# Nscaled: neutron count rate (cph), corrected by PARMA (Nvegc * fi, if applicable, otherwise Nc * fi)
# bd: dry soil bulk density (kg/m³)
# theta: average SWC in the sensor footprint, to be used for calibration (m³/m³)
# weq: soil water equivalent of SOM and lattice water (m³/m³)
# thetaeff: apparent SWC (theta + weq, m³/m³)
# landuse: string decribing major landuse
# lon: longitude of location (decimal degree)
# lat: latitude of location (decimal degree)
# alt: altitude of location (m asl)
# tocal: True if row data was used for general N0 calibration
id;date;Nr;sensitivity;N;abshum;fp;fh;fijung;phi;Nc;biomass;Nvegc;Nsim;fi;Nscaled;bd;theta;weq;thetaeff;landuse;lon;lat;alt;tocal
LUC001;2015-01-14 12:00:00;1456.480;1.147;1269.817;5.724;0.925;0.985;1.033;0.941;1195.538;0.000;1195.538;19.560;0.874;1045.156;741.534;0.472;0.026;0.498;Heath;0.189;50.794;199.000;True
MEBCK001;2012-08-10 11:00:00;709.080;0.452;1568.761;8.385;1.080;1.004;1.046;1.135;1779.861;0.000;1779.861;17.598;0.972;1729.475;1305.066;0.200;0.028;0.229;Cropland;6.297;50.930;91.000;True
MEBCK001;2012-11-19 16:00:00;717.120;0.452;1586.549;7.146;1.002;0.997;1.019;1.018;1615.651;0.000;1615.651;17.598;0.972;1569.914;1231.767;0.245;0.028;0.274;Cropland;6.297;50.930;91.000;True
MEBCK001;2013-07-18 12:00:00;784.680;0.452;1736.018;11.648;1.056;1.022;1.043;1.125;1953.516;0.000;1953.516;17.598;0.972;1898.215;1310.542;0.118;0.028;0.147;Cropland;6.297;50.930;91.000;True
ROC001;2012-07-18 11:00:00;833.720;0.452;1844.513;10.716;0.997;1.019;1.056;1.072;1977.047;0.000;1977.047;26.288;0.650;1286.045;1021.423;0.470;0.055;0.525;Grassland;6.304;50.622;515.000;True
ROC002;2012-07-18 14:00:00;752.600;0.452;1665.044;10.664;0.977;1.018;1.056;1.050;1748.776;0.000;1748.776;26.074;0.656;1146.899;938.671;0.521;0.056;0.577;Grassland;6.305;50.624;506.000;True
RUBCDKR001;2015-09-09 12:00:00;802.680;0.452;1775.841;8.113;1.051;1.004;1.039;1.096;1946.897;0.000;1946.897;28.616;0.598;1163.392;959.746;0.302;0.057;0.359;Grassland;6.376;50.515;611.000;True
RUBCK002;2012-10-19 14:00:00;761.840;0.452;1685.487;9.914;0.969;1.013;1.036;1.016;1713.060;0.000;1713.060;17.884;0.956;1637.944;1244.233;0.229;0.027;0.257;Cropland;6.324;50.989;107.000;True
RUBCK002;2013-07-19 12:00:00;787.200;0.452;1741.593;11.196;1.054;1.020;1.033;1.110;1933.255;0.000;1933.255;17.884;0.956;1848.484;1372.214;0.144;0.027;0.171;Cropland;6.324;50.989;107.000;True
RUBCK003;2012-09-12 16:00:00;676.440;0.452;1496.549;7.671;0.972;1.000;1.032;1.003;1501.103;0.000;1501.103;17.726;0.965;1448.119;1079.259;0.225;0.036;0.261;Grassland;6.427;50.862;100.000;True
RUBCK003;2012-11-23 12:00:00;622.360;0.452;1376.903;6.773;0.994;0.995;1.022;1.011;1391.962;0.000;1391.962;17.726;0.965;1342.831;1059.026;0.296;0.036;0.331;Grassland;6.427;50.862;100.000;True
RUC004;2012-10-19 11:00:00;674.560;0.452;1492.389;10.676;0.962;1.014;1.037;1.011;1508.507;0.000;1508.507;17.096;1.000;1508.841;1194.614;0.350;0.030;0.379;Cropland;6.104;51.041;58.000;True
RUC006;2013-07-18 16:00:00;722.920;0.452;1599.381;12.170;1.060;1.024;1.042;1.131;1809.006;0.000;1809.006;20.123;0.850;1537.245;1174.427;0.285;0.051;0.336;Cropland;6.025;50.799;232.000;True
RUC007;2015-09-03 12:00:00;657.880;0.452;1455.487;8.345;0.988;1.004;1.031;1.023;1488.637;0.000;1488.637;23.012;0.743;1106.178;993.076;0.347;0.054;0.401;Grassland;6.372;50.722;374.000;True
SCC001;2013-05-08 13:00:00;962.200;0.452;2128.761;5.595;1.022;0.977;1.042;1.041;2216.300;0.000;2216.300;24.435;0.700;1551.021;1180.635;0.233;0.036;0.269;Cropland;11.043;51.657;425.000;True
SCC004;2013-05-22 15:00:00;822.720;0.452;1820.177;4.749;0.910;0.997;1.083;0.983;1789.765;0.000;1789.765;23.831;0.718;1284.226;902.197;0.195;0.029;0.223;Cropland;11.049;51.655;399.000;True
SEC001;2015-06-05 12:00:00;618.720;0.452;1368.850;12.736;1.017;1.023;1.038;1.080;1478.579;0.000;1478.579;17.742;0.964;1425.036;1270.172;0.255;0.036;0.292;Cropland;6.447;50.866;101.000;True
SHC001;2015-07-03 12:00:00;1705.292;1.147;1486.741;10.306;1.053;1.010;1.041;1.107;1647.057;0.000;1647.057;19.746;0.866;1426.364;1341.492;0.188;0.066;0.254;Cropland;-1.458;51.515;197.000;True
SHC001;2015-11-04 12:00:00;1668.267;1.147;1454.461;9.912;0.979;1.008;1.032;1.019;1480.354;0.000;1480.354;19.746;0.866;1281.997;1335.650;0.404;0.066;0.470;Cropland;-1.458;51.515;197.000;True
SHC001;2016-11-04 12:00:00;1910.240;1.147;1665.423;7.222;0.952;0.994;0.991;0.938;1563.157;0.000;1563.157;19.746;0.866;1353.706;1336.715;0.339;0.066;0.405;Cropland;-1.458;51.515;197.000;True
SHC002;2015-07-04 12:00:00;1722.200;1.147;1501.482;12.002;1.021;1.020;1.037;1.080;1622.187;0.000;1622.187;19.882;0.860;1395.201;1115.162;0.233;0.062;0.295;Cropland;-1.468;51.528;204.000;True
SHC002;2015-11-02 12:00:00;1517.667;1.147;1323.162;7.874;1.071;0.997;1.043;1.114;1478.498;0.000;1478.498;19.882;0.860;1271.617;1100.032;0.434;0.062;0.496;Cropland;-1.468;51.528;204.000;True
SHC002;2016-11-01 12:00:00;1689.320;1.147;1472.816;8.283;1.068;1.000;0.989;1.056;1554.709;0.000;1554.709;19.882;0.860;1337.165;1104.052;0.360;0.062;0.422;Cropland;-1.468;51.528;204.000;True
SHC003;2015-07-05 12:00:00;1693.720;1.147;1476.652;10.086;1.021;1.010;1.038;1.070;1579.785;0.000;1579.785;19.465;0.878;1387.831;1080.196;0.211;0.059;0.270;Cropland;-1.486;51.523;182.000;True
SHC003;2015-11-03 12:00:00;1582.333;1.147;1379.541;9.109;1.002;1.004;1.028;1.035;1431.024;0.000;1431.024;19.465;0.878;1257.146;1066.479;0.285;0.059;0.344;Cropland;-1.486;51.523;182.000;True
SHC003;2016-02-09 12:00:00;1979.160;1.147;1725.510;5.508;0.814;0.985;1.010;0.810;1397.453;0.000;1397.453;19.465;0.878;1227.654;1027.437;0.465;0.059;0.524;Cropland;-1.486;51.523;182.000;True
TOC001;2011-03-02 12:00:00;620.200;0.452;1372.124;4.313;1.034;0.972;0.986;0.990;1358.700;0.000;1358.700;16.663;1.026;1394.351;1308.330;0.284;0.047;0.330;Grassland;1.292;43.385;188.000;True
VOC001;2013-06-03 12:00:00;1008.840;0.668;1510.240;6.752;1.086;0.998;1.063;1.152;1739.991;0.000;1739.991;18.229;0.938;1632.241;1377.184;0.221;0.040;0.261;Cropland;9.156;56.036;67.000;True
VOC001;2013-08-29 12:00:00;1106.680;0.668;1656.707;9.724;1.042;1.014;1.035;1.093;1811.344;0.000;1811.344;18.229;0.938;1699.175;1272.215;0.145;0.040;0.185;Cropland;9.156;56.036;67.000;True
VOC001;2015-06-19 12:00:00;1069.040;0.668;1600.359;7.860;0.976;1.004;1.041;1.020;1632.380;0.000;1632.380;18.229;0.938;1531.294;1404.188;0.224;0.040;0.264;Cropland;9.156;56.036;67.000;True
VOC001;2015-09-23 12:00:00;1095.840;0.668;1640.479;9.445;0.945;1.012;1.038;0.993;1629.644;0.000;1629.644;18.229;0.938;1528.727;1435.497;0.242;0.040;0.282;Cropland;9.156;56.036;67.000;True
